#ID	Group	Solicit	Course	Entity	Day	Hour	Bld	Type	Room	Vacanc	Matric	Priori	Special
1 1 1 81 33 3 8 4 1 122 60 51 1 1 
2 1 1 81 33 3 9 4 1 122 60 51 1 1 
3 1 1 81 33 3 10 4 1 122 60 51 1 1 
4 1 1 81 33 3 11 4 1 122 60 51 1 1 
9 3 3 53 25 5 2 5 1 59 40 33 1 1 
10 3 3 53 25 5 3 5 1 59 40 33 1 1 
13 5 5 76 43 5 10 1 1 8 25 17 1 1 
14 5 5 76 43 5 11 1 1 3 25 17 1 1 
15 6 6 178 18 4 2 4 1 113 40 22 2 1 
16 6 6 178 18 4 3 4 1 113 40 22 2 1 
17 6 6 178 18 4 4 4 1 123 40 22 2 1 
18 6 6 178 18 4 5 4 1 123 40 22 2 1 
23 8 8 161 16 2 8 1 1 54 50 43 1 1 
24 8 8 161 16 2 9 1 1 54 50 43 1 1 
25 8 8 161 16 5 4 1 1 57 50 43 1 1 
26 8 8 161 16 5 5 1 1 57 50 43 1 1 
27 9 9 60 40 3 4 2 1 32 50 24 1 1 
28 9 9 60 40 3 5 2 1 32 50 24 1 1 
29 9 9 60 40 5 4 2 1 31 50 24 1 1 
30 9 9 60 40 5 5 2 1 31 50 24 1 1 
31 10 10 142 14 6 15 17 1 252 15 10 1 1 
32 10 10 142 14 6 16 17 1 252 15 10 1 1 
33 10 10 142 14 6 17 17 1 239 15 10 1 1 
34 10 10 142 14 6 17 17 1 240 15 10 1 1 
35 11 11 169 11 3 3 5 3 -1 35 55 1 1 
36 11 11 169 11 3 4 5 3 -1 35 55 1 1 
39 12 13 156 32 6 8 5 1 85 35 25 1 1 
40 12 13 156 32 6 9 5 1 66 35 25 1 1 
41 12 13 156 32 6 10 5 1 85 35 25 1 1 
42 12 13 156 32 6 11 5 1 85 35 25 1 1 
43 13 14 43 27 5 2 4 1 120 60 56 1 1 
44 13 14 43 27 5 3 4 1 120 60 56 1 1 
45 13 14 43 27 5 4 4 1 120 60 56 1 1 
46 13 14 43 27 5 5 4 1 120 60 56 1 1 
49 15 16 79 40 3 14 2 2 33 45 16 1 1 
50 15 16 79 40 3 15 2 2 33 45 16 1 1 
51 15 16 79 40 3 16 2 1 51 45 16 1 1 
52 15 16 79 40 3 17 2 1 51 45 16 1 1 
57 17 18 178 18 6 2 4 1 120 60 27 1 1 
58 17 18 178 18 6 3 4 1 120 60 27 1 1 
59 17 18 178 18 6 4 4 1 120 60 27 1 1 
60 17 18 178 18 6 5 4 1 120 60 27 1 1 
75 12 21 156 32 5 8 1 1 7 15 11 2 1 
76 12 21 156 32 5 9 1 1 7 15 11 2 1 
77 12 21 156 32 5 10 1 1 7 15 11 2 1 
78 12 21 156 32 5 11 1 1 7 15 11 2 1 
79 20 22 8 8 5 4 2 1 32 50 45 1 1 
