Sala: 101 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Introdução À Física Nuclear E De Partículas , Administração , Radiobiologia , Física Aplicada À Biologia , Promoção Da Saúde I 
08:50:00 - 09:40:00 , , , Introdução À Física Nuclear E De Partículas , Administração , Radiobiologia , Física Aplicada À Biologia , Promoção Da Saúde I 
10:00:00 - 10:50:00 , , , Álgebra Linear , Psicologia Da Educação Ii , Radiobiologia , Psicologia Da Educação Ii , Promoção Da Saúde I 
10:50:00 - 11:40:00 , , , Álgebra Linear , Psicologia Da Educação Ii , Radiobiologia , Psicologia Da Educação Ii , Promoção Da Saúde I 
11:40:00 - 12:30:00 , , , , , , , Promoção Da Saúde I 
13:10:00 - 14:00:00 , , , , Farmacobotânica , , , 
14:00:00 - 14:50:00 , , , Desenvolvimento De Projeto , Circuitos Elétricos 1 , Desenvolvimento De Projeto , Introdução À Física Nuclear E De Partículas , Introdução À Instrumentação Biomédica 
14:50:00 - 15:40:00 , , , Desenvolvimento De Projeto , Circuitos Elétricos 1 , Desenvolvimento De Projeto , Introdução À Física Nuclear E De Partículas , Introdução À Instrumentação Biomédica 
16:00:00 - 16:50:00 , , , Introdução À Física Nuclear E De Partículas , Cálculo 1c , Introdução À Física Nuclear E De Partículas , Fisiologia Do Metabolismo Vegetal , Desenvolvimento De Projeto 
16:50:00 - 17:40:00 , , , Introdução À Física Nuclear E De Partículas , Cálculo 1c , Introdução À Física Nuclear E De Partículas , Fisiologia Do Metabolismo Vegetal , Desenvolvimento De Projeto 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , História Dos Museus , Química Orgânica 1 , , Química Orgânica 1 , 
19:35:00 - 20:20:00 , , , História Dos Museus , Química Orgânica 1 , , Química Orgânica 1 , 
20:30:00 - 21:15:00 , , , Mecânica Clássica I , Termodinâmica , Mecânica Clássica I , Termodinâmica , 
21:15:00 - 22:00:00 , , , Mecânica Clássica I , Termodinâmica , Mecânica Clássica I , Termodinâmica , 
Sala: 102 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Fundamentos Filosóficos E Sócio-Hist. Da Educação , Cálculo 1c , Introdução À Física Nuclear E De Partículas , Administração , Fundamentos Filosóficos E Sócio-Hist. Da Educação 
08:50:00 - 09:40:00 , , , Fundamentos Filosóficos E Sócio-Hist. Da Educação , Cálculo 1c , Introdução À Física Nuclear E De Partículas , Administração , Fundamentos Filosóficos E Sócio-Hist. Da Educação 
10:00:00 - 10:50:00 , , , Promoção Da Saúde I , Dosimetria , Imunologia Básica , Dosimetria , Fundamentos Filosóficos E Sócio-Hist. Da Educação 
10:50:00 - 11:40:00 , , , Promoção Da Saúde I , Dosimetria , Imunologia Básica , Dosimetria , Fundamentos Filosóficos E Sócio-Hist. Da Educação 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Física Aplicada À Biologia , Química Orgânica , Introdução À Instrumentação Biomédica , Psicologia Da Educação Ii , Desenvolvimento De Projeto 
14:50:00 - 15:40:00 , , , Física Aplicada À Biologia , Química Orgânica , Introdução À Instrumentação Biomédica , Psicologia Da Educação Ii , Desenvolvimento De Projeto 
16:00:00 - 16:50:00 , , , Estágio I , Genética , Estágio I , Fisiologia Humana , Promoção Da Saúde I 
16:50:00 - 17:40:00 , , , Estágio I , Genética , Estágio I , Fisiologia , Álgebra Linear 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , Psicologia Da Educação Ii , , Psicologia Da Educação Ii , 
19:35:00 - 20:20:00 , , , , Psicologia Da Educação Ii , , Psicologia Da Educação Ii , 
20:30:00 - 21:15:00 , , , Estágio I , Física 3 , Estágio I , Química Orgânica 1 , 
21:15:00 - 22:00:00 , , , Estágio I , Física 3 , Estágio I , Química Orgânica 1 , 
Sala: 103 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Química Geral Teórica , Educação Em Saúde , Ecologia Do Cerrado , Cálculo 3a , Bioestatística 
08:50:00 - 09:40:00 , , , Química Geral Teórica , Educação Em Saúde , Imunologia Básica , Química Geral Teórica , Bioestatística 
10:00:00 - 10:50:00 , , , Morfologia E Sistemática De Espermatófitas , Introdução À Computação , Ecologia Do Cerrado , Introdução À Computação , Biofísica 
10:50:00 - 11:40:00 , , , Morfologia E Sistemática De Espermatófitas , Introdução À Computação , Ecologia Do Cerrado , Introdução À Computação , Biofísica 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Paleobiologia , Psicologia Da Educação Ii , Cálculo 1c , Fisiologia Do Metabolismo Vegetal , Promoção Da Saúde I 
14:50:00 - 15:40:00 , , , Paleobiologia , Psicologia Da Educação Ii , Cálculo 1c , Fisiologia Do Metabolismo Vegetal , 
16:00:00 - 16:50:00 , , , Mecânica Clássica I , Gestão Da Produção E Da Qualidade , Mecânica Clássica I , Fisiologia , Álgebra Linear 
16:50:00 - 17:40:00 , , , Mecânica Clássica I , Gestão Da Produção E Da Qualidade , Mecânica Clássica I , Administração Da Produção E Operações , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , Fundamentos Filosóficos E Sócio-Hist. Da Educação , , Fundamentos Filosóficos E Sócio-Hist. Da Educação , 
19:35:00 - 20:20:00 , , , , Fundamentos Filosóficos E Sócio-Hist. Da Educação , , Fundamentos Filosóficos E Sócio-Hist. Da Educação , 
20:30:00 - 21:15:00 , , , História Dos Museus , Filosofia Da Linguagem , , Física 3 , 
21:15:00 - 22:00:00 , , , História Dos Museus , Filosofia Da Linguagem , , Física 3 , 
Sala: 104 , Prédio: CAB , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Tópicos Em Contabilidade I , , Tópicos Em Contabilidade I , Introdução À Computação , Tópicos Em Contabilidade I 
08:50:00 - 09:40:00 , , , Tópicos Em Contabilidade I , , Tópicos Em Contabilidade I , Introdução À Computação , Tópicos Em Contabilidade I 
10:00:00 - 10:50:00 , , , , Princípios De Economia , Elaboração E Análise De Projetos , Introdução À Computação , Mercadologia 
10:50:00 - 11:40:00 , , , , Princípios De Economia , Elaboração E Análise De Projetos , Introdução À Computação , Mercadologia 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Física I , , , Introdução À Programação , Sistemas Operacionais 
14:50:00 - 15:40:00 , , , Física I , , , Introdução À Programação , Sistemas Operacionais 
16:00:00 - 16:50:00 , , , Empreendedorismo , Tópicos Em Matemática , , Tópicos Em Matemática , 
16:50:00 - 17:40:00 , , , Empreendedorismo , Tópicos Em Matemática , , Tópicos Em Matemática , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
