#ID	Entity	Level	Name
1	19	Bacharelado	Geologia
2	19	Bacharelado	Engenharia De Transportes
3	7	Bacharelado	Arquitetura E Urbanismo
4	27	Bacharelado	Jornalismo
5	27	Bacharelado	Relações Públicas
6	10	Licenciatura	Teatro
7	30	Bacharelado	Odontologia
8	8	Bacharelado	Engenharia De Alimentos
9	3	Bacharelado	Agronomia
10	26	Bacharelado	História
11	26	Licenciatura	História
12	13	Bacharelado	Ciências Econômicas
13	38	Bacharelado	Matemática
14	3	Bacharelado	Medicina Veterinária
15	33	Grau Não Definido	Geografia
16	36	Grau Não Definido	Geografia
17	48	Grau Não Definido	Geografia
18	33	Licenciatura	Geografia
19	38	Licenciatura	Matemática
20	39	Licenciatura	Matemática
21	5	Licenciatura	Matemática
22	45	Licenciatura	Letras
23	38	Licenciatura	Matemática
24	23	Bacharelado	Enfermagem
25	41	Bacharelado E Licenciatura	História
26	20	Bacharelado	Direito
27	7	Bacharelado	Direito
28	37	Licenciatura	Letras
29	22	Licenciatura	Educação Física
30	31	Licenciatura	Educação Física
31	6	Licenciatura	Educação Física
32	23	Bacharelado E Licenciatura	Enfermagem
33	10	Bacharelado	Artes Cênicas
34	10	Licenciatura	Artes Cênicas
35	33	Bacharelado	Geografia
36	36	Bacharelado	Geografia
37	36	Licenciatura	Geografia
38	48	Licenciatura	Geografia
39	48	Bacharelado	Geografia
40	13	Bacharelado	Administração
41	13	Bacharelado	Ciências Contábeis
42	21	Licenciatura	Psicologia
43	27	Bacharelado	Comunicação Social
44	3	Bacharelado	Zootecnia
45	5	Licenciatura	Química
46	45	Licenciatura	História
47	5	Licenciatura	Física
48	35	Licenciatura	Física
49	44	Licenciatura	Química
50	31	Licenciatura	Ciências Biológicas
51	1	Bacharelado	Administração
52	38	Grau Não Definido	Matemática
53	25	Bacharelado	Farmácia
54	21	Bacharelado E Licenciatura	Psicologia
55	45	Bacharelado	Psicologia
56	21	Bacharelado	Psicologia
57	44	Grau Não Definido	Química
58	18	Grau Não Definido	Ciências Sociais
59	6	Bacharelado	Biomedicina
60	40	Bacharelado	Ciência Da Computação
