#ID	Course	Name
1	81	Grupo A
3	53	Grupo A
4	69	Grupo A
5	76	Grupo B
6	178	Grupo D
8	161	Grupo A
9	60	Grupo A
10	142	Grupo B
11	169	Grupo B
12	156	Grupo B
13	43	Grupo A
14	36	Grupo A
15	79	Grupo B
16	66	Grupo A
17	178	Grupo B
19	117	Grupo A
20	8	Grupo A
21	13	Grupo A
22	5	Grupo B
25	78	Grupo A
26	156	Grupo A
27	157	Grupo A
28	88	Grupo A
29	157	Grupo B
30	155	Grupo A
31	35	Grupo B
32	81	Grupo B
33	95	Grupo A
34	12	Grupo B
35	93	Grupo C
36	60	Grupo A
37	178	Grupo C
39	79	Grupo B
40	167	Grupo D
41	40	Grupo A
42	19	Grupo A
43	41	Grupo A
44	177	Grupo B
45	83	Grupo A
47	18	Grupo C
48	8	Grupo A
49	166	Grupo B
50	103	Grupo A
51	110	Grupo A
52	41	Grupo A
55	142	Grupo D
56	155	Grupo A
57	5	Grupo A
58	41	Grupo B
59	133	Grupo B
60	92	Grupo A
61	180	Grupo A
63	179	Grupo D
64	20	Grupo A
65	167	Grupo A
66	48	Grupo A
67	91	Grupo B
68	88	Grupo A
69	79	Grupo A
70	158	Grupo A
71	81	Núcleo Livre
72	180	Grupo A
73	182	Grupo A
74	74	Grupo A
75	4	Grupo D
77	58	Grupo A
79	155	Grupo A
80	103	Grupo B
81	77	Grupo B
82	93	Grupo A
83	60	Grupo A
84	156	Grupo A
86	119	Grupo A
88	41	Grupo B
89	30	Grupo A
90	156	Grupo C
93	18	Grupo D
94	154	Grupo A
96	103	Grupo B
97	19	Grupo A
98	161	Grupo A
99	155	Grupo A
101	79	Grupo A
102	40	Grupo A
103	95	Grupo A
104	4	Grupo B
105	29	Núcleo Livre
106	18	Grupo C
107	53	Grupo A
109	41	Grupo D
110	79	Grupo A
111	79	Grupo A
113	177	Grupo A
114	68	Grupo A
115	77	Grupo B
116	18	Grupo C
117	93	Grupo A
118	167	Grupo A
120	87	Grupo A
121	53	Grupo A
122	167	Grupo C
123	154	Grupo A
126	13	Grupo A
127	81	Grupo A
129	103	Grupo A
130	7	Grupo A
131	12	Grupo C
132	157	Grupo C
133	5	Grupo A
134	137	Grupo A
135	167	Grupo B
136	158	Grupo A
137	88	Grupo A
138	12	Grupo B
139	166	Grupo A
140	157	Grupo B
141	161	Grupo A
142	74	Grupo A
143	137	Grupo C
144	152	Grupo A
145	133	Grupo A
146	137	Grupo C
147	103	Núcleo Livre
148	78	Grupo D
149	35	Grupo B
150	95	Grupo A
151	75	Grupo A
152	79	Grupo A
153	87	Grupo A
154	76	Grupo B
156	40	Grupo B
157	154	Grupo A
158	83	Grupo A
160	167	Grupo A
161	87	Grupo A
162	161	Grupo A
163	161	Grupo A
164	120	Grupo A
165	158	Grupo B
166	167	Grupo D
167	142	Grupo A
168	158	Grupo C
170	60	Grupo A
171	179	Grupo B
172	12	Grupo A
173	36	Grupo A
174	87	Grupo B
175	164	Grupo A
176	79	Grupo A
177	87	Grupo A
178	73	Grupo A
179	103	Grupo B
181	103	Grupo A
183	18	Grupo D
184	13	Grupo A
186	157	Grupo A
187	93	Grupo B
188	142	Grupo C
189	161	Grupo A
190	8	Grupo B
191	161	Grupo A
193	35	Grupo B
194	8	Grupo A
195	103	Grupo B
197	167	Grupo A
198	13	Grupo B
199	104	Grupo A
200	167	Grupo D
201	130	Grupo A
202	19	Grupo A
203	77	Grupo B
206	41	Grupo C
207	5	Grupo B
208	91	Grupo A
209	73	Grupo B
210	157	Grupo A
211	153	Grupo A
212	12	Grupo A
213	91	Grupo B
214	37	Grupo A
215	166	Grupo B
218	92	Grupo A
219	35	Grupo B
220	43	Grupo A
221	53	Grupo A
222	146	Grupo A
224	18	Grupo A
225	158	Grupo A
226	133	Grupo A
227	137	Grupo D
229	83	Grupo A
230	103	Grupo B
232	54	Grupo A
234	79	Grupo B
235	137	Grupo B
236	156	Grupo A
237	74	Grupo B
238	153	Núcleo Livre
239	74	Grupo A
240	74	Grupo B
241	80	Grupo A
242	166	Grupo B
244	72	Grupo A
245	20	Grupo A
246	168	Grupo A
247	157	Grupo B
248	77	Grupo C
251	167	Grupo C
252	5	Grupo C
253	167	Grupo B
254	105	Grupo A
256	87	Grupo A
259	12	Grupo D
261	36	Grupo A
262	1	Grupo A
263	77	Grupo B
265	142	Grupo B
266	167	Grupo B
267	166	Grupo B
268	37	Grupo B
269	167	Grupo C
270	91	Grupo B
272	120	Grupo A
273	161	Grupo A
274	156	Grupo B
275	18	Grupo D
276	158	Grupo A
277	133	Grupo A
279	43	Grupo A
280	166	Grupo C
281	91	Grupo C
282	179	Grupo C
283	158	Grupo B
284	4	Grupo A
286	170	Grupo D
288	81	Grupo A
291	165	Núcleo Livre
292	19	Grupo A
294	50	Grupo A
295	88	Grupo A
297	12	Grupo B
299	154	Grupo A
300	130	Grupo A
301	157	Grupo C
302	74	Grupo A
303	18	Grupo A
305	79	Grupo B
306	76	Grupo B
309	66	Grupo A
310	43	Grupo A
311	12	Grupo A
313	60	Grupo A
314	79	Grupo A
316	91	Grupo D
317	24	Grupo A
320	18	Grupo D
322	145	Grupo A
323	105	Grupo D
324	81	Grupo A
325	40	Grupo A
326	167	Grupo D
327	164	Grupo A
328	60	Grupo B
329	66	Grupo A
330	76	Grupo A
331	41	Grupo A
332	105	Grupo B
333	133	Grupo A
334	37	Grupo A
337	92	Grupo A
338	167	Grupo B
339	86	Grupo A
340	40	Grupo A
341	35	Grupo A
343	119	Grupo A
345	41	Grupo A
346	24	Grupo A
348	77	Grupo B
349	119	Grupo A
350	91	Grupo B
351	60	Grupo A
353	74	Grupo A
354	37	Grupo B
355	87	Grupo B
358	77	Grupo B
359	53	Grupo A
360	77	Grupo A
361	119	Grupo B
362	86	Grupo B
363	157	Núcleo Livre
364	35	Grupo B
366	41	Núcleo Livre
367	166	Grupo A
368	12	Grupo B
369	20	Grupo B
370	87	Grupo B
371	79	Grupo B
372	73	Grupo A
373	120	Grupo B
375	158	Grupo A
377	120	Grupo A
378	60	Núcleo Livre
379	20	Grupo A
380	76	Grupo A
381	166	Grupo A
382	79	Grupo B
383	7	Grupo B
384	156	Núcleo Livre
385	5	Grupo C
387	155	Grupo A
388	168	Grupo A
389	4	Grupo C
391	60	Grupo B
392	86	Grupo A
394	120	Grupo B
395	74	Grupo B
396	105	Grupo C
397	41	Grupo B
398	157	Grupo B
399	12	Grupo B
400	133	Grupo A
401	13	Grupo A
402	7	Grupo A
403	120	Grupo A
405	51	Grupo A
406	86	Grupo A
407	179	Grupo D
409	5	Grupo D
410	60	Grupo B
412	78	Grupo C
413	169	Grupo A
415	153	Grupo B
417	40	Grupo A
418	4	Grupo A
420	130	Grupo A
421	86	Grupo B
422	7	Grupo B
423	170	Grupo A
425	103	Grupo B
426	179	Grupo D
427	73	Grupo A
428	166	Grupo A
430	60	Grupo A
431	120	Grupo A
432	77	Grupo A
433	170	Grupo A
434	79	Grupo B
436	83	Núcleo Livre
438	83	Grupo A
439	117	Grupo A
441	120	Grupo C
442	81	Grupo A
443	105	Grupo C
446	40	Grupo A
447	69	Grupo A
449	76	Grupo C
452	105	Grupo B
453	119	Grupo A
454	120	Grupo A
457	36	Grupo A
458	120	Grupo B
459	130	Grupo A
460	8	Grupo B
461	77	Grupo D
462	179	Grupo D
463	93	Grupo A
464	19	Grupo A
466	54	Núcleo Livre
467	74	Grupo A
469	78	Grupo A
470	93	Grupo B
472	12	Grupo A
473	120	Grupo B
474	91	Grupo B
476	12	Grupo A
477	120	Grupo B
478	53	Grupo A
479	53	Grupo B
480	91	Grupo B
481	7	Grupo A
482	120	Grupo A
485	156	Grupo B
486	120	Grupo B
487	69	Grupo A
488	18	Núcleo Livre
489	120	Grupo B
490	18	Grupo C
491	26	Grupo A
492	53	Grupo B
493	83	Grupo A
494	83	Grupo A
495	51	Grupo A
496	41	Grupo B
497	51	Grupo B
498	51	Grupo A
499	189	Grupo A
500	188	Grupo A
501	51	Grupo A
502	186	Grupo A
503	49	Grupo A
504	51	Grupo A
505	74	Grupo C
506	88	Grupo C
507	57	Grupo A
508	187	Grupo A
509	142	Grupo A
510	104	Grupo A
511	7	Grupo A
512	78	Grupo A
513	110	Grupo B
514	170	Grupo A
515	54	Núcleo Livre
516	24	Grupo A
517	48	Núcleo Livre
518	60	Grupo A
519	13	Grupo D
520	24	Grupo A
521	152	Grupo A
