#ID	Group	Course	Vacanc	Matric	Priori	Special	Name
1	1	81	60	51	1	1	Natureza E Sociedade
3	3	53	40	33	1	1	Bromatologia
5	5	76	25	17	1	1	Gerenciamento E Controle Ambiental
6	6	178	40	22	2	1	Tópicos De Antropologia I
8	8	161	50	43	1	1	Introdução A Genética
9	9	60	50	24	1	1	Matemática Discreta
10	10	142	15	10	1	1	Educação Especial E Inclusão
11	11	169	35	55	1	1	Desenho Técnico
13	12	156	35	25	1	1	Biofísica
14	13	43	60	56	1	1	Cultura Brasileira
16	15	79	45	16	1	1	Manutenção De Software
18	17	178	60	27	1	1	Antropologia 3
21	12	156	15	11	2	1	Métodos Analíticos Em Biomedicina
22	20	8	50	45	1	1	Química Geral
23	21	13	60	69	1	1	Geometria Analítica
24	22	5	50	55	2	1	Direitos Humanos E Cidadania
27	25	78	35	52	3	1	Políticas Educacionais E Fracasso Escolar
28	26	156	62	63	1	1	Genética
29	27	157	40	34	1	1	Zoologia Iii
31	29	157	40	18	1	1	Biogeografia
32	30	155	45	19	1	1	Políticas Educacionais No Brasil
33	31	35	20	22	2	1	Tópicos Em Geografia Humana
34	32	81	30	23	2	1	Geoprocessamento Ii
35	33	95	40	38	1	1	Representação Descritiva Iii
36	34	12	20	1	2	1	Métodos Dinâmicos Aplicados À Macroeconomia
37	35	93	50	92	2	1	Introdução À Biologia Marinha
38	36	60	50	57	1	1	Introdução À Computabilidade E À Complexidade Computacional
39	37	178	40	19	1	1	Estágio Supervisionado I:Educação Não-Formal
41	39	79	45	58	1	1	Introdução À Programação
42	40	167	15	15	1	1	Saúde Do Adulto E Do Idoso - Sistema Urinário
43	41	40	60	46	1	1	Introdução À Administração Pública
44	42	19	60	28	1	1	Linguagem E Matemática
45	43	41	48	39	1	1	Fundamentos Da Microeconomia
46	44	177	40	27	1	1	Genética E Evolução
47	34	12	50	15	1	1	Tópicos Especiais Em Teoria Econômica
48	45	83	40	38	1	1	Projeto 7
49	43	41	48	36	1	1	Instituições Do Direito Público E Privado
51	47	18	30	30	1	1	Geografia E Sociedade
52	48	8	50	34	1	1	Ciências Dos Materiais
53	49	166	40	45	1	1	Metabolismo Celular
54	22	5	35	23	1	1	Ética E Legislação Em Rp E Comunicação
55	50	103	34	23	1	1	Cultura De Célula Vegetal
57	17	178	60	45	1	1	Sociologia 3
58	52	41	48	39	1	1	Direito Empresarial
61	55	142	25	15	1	1	Educação Popular E Movimentos Sociais
62	56	155	45	23	1	1	Didática Para O Ensino De Física
63	57	5	27	34	1	1	Fotografia
64	58	41	48	24	1	1	Direito Trabalhista E Previdenciário
65	59	133	60	65	1	1	Física I
67	61	180	10	10	1	1	Tutorial Em Saúde Iii
69	63	179	30	20	1	1	Trabalho Final De Curso 2
71	17	178	60	53	1	1	Métodos E Técnicas De Pesquisa Social 2
72	65	167	15	14	1	1	Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos
73	66	48	50	33	3	1	Metodologia De Pesquisa Científica
74	67	91	25	38	1	1	Introdução À Língua Brasileira De Sinais - Libras
75	68	88	6	5	1	1	Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii
76	69	79	60	36	1	1	Governança De Ti
77	70	158	40	26	1	1	Biologia Molecular
78	71	81	15	24	2	1	Solos E Meio Ambiente
79	72	180	9	9	1	1	Tutorial Em Saúde Ii
80	73	182	55	38	1	1	Introdução Ao Estudo De Políticas Públicas
81	74	74	40	31	1	1	Construção De Software
82	75	4	50	38	2	1	Jornalismo Especializado
84	77	58	40	29	1	1	Sociologia 1
85	28	88	7	4	1	1	Saúde Coletiva I
87	79	155	45	18	1	1	Prática De Ensino Iii
88	80	103	34	22	1	1	Farmacologia
89	81	77	20	18	2	1	Introdução À Análise De Risco
90	82	93	25	22	1	1	Introdução À Bioestatística
91	83	60	45	38	1	1	Introdução À Programação
92	80	103	30	25	1	1	Biotecnologia Aplicada À Patologia
93	84	156	61	75	1	1	Epidemiologia
95	86	119	40	38	1	1	Laboratório De Audiovisual
96	8	161	50	45	1	1	Química Geral Teórica
98	65	167	15	14	1	1	Saúde Do Adulto E Do Idoso - Sistema Urinário
99	55	142	15	9	1	1	Estágio De Docência Em Ciências Da Natureza No Ensino Médio Ou Eja Iii
100	88	41	48	40	1	1	Contabilidade Introdutória I
102	13	43	60	52	1	1	Introdução À Publicidade E Propaganda
103	90	156	25	7	2	1	Diagnóstico Molecular
107	93	18	31	33	1	1	Geomorfologia I
108	94	154	60	54	1	1	Cálculo 3a
110	96	103	20	15	1	1	Bases Da Biotecnologia
111	97	19	50	26	1	1	Didática Da Matemática I
112	98	161	40	35	1	1	Economia
113	99	155	55	48	1	1	Introdução À Física
115	30	155	54	75	1	1	Física Matemática I
116	26	156	35	36	1	1	Biossegurança
117	101	79	60	68	1	1	Linguagens E Paradigmas De Programação
118	102	40	58	70	1	1	Fundamentos Da Microeconomia
119	103	95	40	32	1	1	Políticas Públicas Na Área Social, Cultural E Educacional
121	104	4	50	59	2	1	Psicologia
122	34	12	40	26	1	1	Economia Social
123	105	29	40	40	3	1	Fundamentos Da Educação No Cinema
124	106	18	40	22	1	1	Geografia De Goiás
125	107	53	45	45	1	1	Imunologia
127	109	41	48	26	1	1	Contabilidade Governamental Ii
128	110	79	60	60	1	1	Lógica Matemática
129	111	79	60	77	1	1	Arquitetura De Computadores
131	113	177	60	63	1	1	Imunologia Veterinária
132	114	68	50	52	3	1	Hidrogeologia
133	115	77	40	43	1	1	Álgebra Linear
134	116	18	30	20	1	1	Estágio Supervisionado Em Geografia Iii
135	117	93	50	60	1	1	Ciência Do Solo
136	118	167	20	20	1	1	Método Clínico I
138	120	87	50	42	1	1	Físico-Química 1
139	121	53	10	8	1	1	Farmácia Hospitalar
140	122	167	14	14	1	1	Método Clínico Iii
141	3	53	45	22	1	1	Assistência Farmacêutica Em Serviços De Saúde
142	123	154	55	69	1	1	Mecânica Quântica I
145	77	58	40	28	1	1	Sociologia 1
146	109	41	48	40	1	1	Contabilidade De Custos
147	126	13	50	48	1	1	Introdução À Teoria Dos Números
148	127	81	40	52	2	1	Recursos Físicos Da Terra
149	28	88	21	4	1	1	Saúde Coletiva I
151	129	103	34	28	1	1	Biologia Celular
152	130	7	36	32	1	1	Fisiologia Humana
153	131	12	50	32	1	1	Formação Econômica Do Brasil
154	132	157	15	28	2	1	Mutagênese Ambiental
155	133	5	30	23	1	1	Teorias Da Comunicação I
156	134	137	50	39	1	1	Introdução Às Relações Internacionais
157	135	167	15	13	1	1	Saúde Do Adulto E Do Idoso - Psiquiatria/Medicina Legal E Saúde Mental Coletiva
158	136	158	48	30	1	1	Zoologia I - Filogenia
159	116	18	30	18	2	1	Formação Do Território Brasileiro
161	138	12	40	10	1	1	Demografia Econômica
163	77	58	40	28	1	1	Antropologia 1
164	139	166	50	57	1	1	Cálculo 2b
165	140	157	40	29	1	1	Bioquímica Ii
167	123	154	45	24	1	1	Física Do Estado Sólido I
170	141	161	20	20	1	1	Fisiologia Humana
171	133	5	60	46	2	1	Cultura Brasileira
172	142	74	60	55	1	1	Computação E Sociedade
173	51	110	24	20	1	1	Sistemas De Informação E Decisão I
174	143	137	50	33	1	1	Economia Brasileira
175	144	152	45	47	1	1	Estética E Filosofia Da Arte
176	141	161	40	42	1	1	Bioquímica I
178	145	133	25	20	1	1	Eletrônica 1
179	63	179	40	22	2	1	Tópicos De Sociologia I
180	146	137	45	35	2	1	Tópicos De Relações Internacionais
181	19	117	65	5	1	1	Estágio Curricular 1
182	147	103	20	61	3	1	Astrobiologia
183	148	78	12	13	1	1	Estágio Em Educ. Inf. E Anos Ini. Do Ens. Fund Iii
184	149	35	30	23	1	1	Geografia E Sociedade
185	150	95	50	47	1	1	Linguagens De Classificação I
186	141	161	41	42	1	1	Fisiologia Humana
187	51	110	40	42	1	1	Usos E Usuários Da Informação
188	151	75	25	16	1	1	Desenho Técnico Mecânico
189	152	79	60	58	1	1	Análise E Projeto De Algoritmos
190	34	12	50	32	1	1	Formação Econômica Do Brasil
191	153	87	60	43	1	1	Termodinâmica Fundamental
192	97	19	40	21	1	1	Psicologia Da Educação I
194	154	76	30	23	1	1	Fenômenos De Transporte 2
196	136	158	50	25	1	1	Química Geral Teórica
197	156	40	50	55	1	1	Empreendedorismo I
198	157	154	50	52	1	1	Física Matemática Ii
199	104	4	26	25	1	1	Fotojornalismo
200	137	88	45	49	1	1	Patologia Humana
201	158	83	20	18	1	1	Instalações Prediais I - Hidráulico
202	26	156	35	37	1	1	Biomedicina E Saúde Coletiva
204	160	167	60	62	1	1	Saúde, Família E Comunidade I
205	161	87	60	66	1	1	Cálculo 1a
207	153	87	55	70	1	1	Química Orgânica 2
208	10	142	15	10	1	1	Psicologia Da Educação Ii
212	163	161	40	46	1	1	Bioestatística
215	133	5	30	23	1	1	Introdução Às Relações Públicas
216	156	40	50	21	1	1	Pesquisa Operacional
217	165	158	33	32	1	1	Sistemática De Criptógamos
218	166	167	15	15	1	1	Método Clínico Iii
219	109	41	48	38	1	1	Pesquisa Aplicada A Contabilidade
220	167	142	50	11	1	1	Políticas E Gestão Da Educação
221	132	157	20	29	2	1	Tópicos Em Biologia
222	156	40	50	23	1	1	Administração De Recursos Materiais E Patrimoniais
223	168	158	40	23	1	1	Biologia Evolutiva
224	118	167	20	23	1	1	Método Clínico I
225	52	41	48	39	1	1	Direito Empresarial
228	51	110	24	21	1	1	Gerencia De Sistemas De Informação
229	170	60	40	40	1	1	Arquitetura De Computadores
230	136	158	45	32	1	1	Biologia Celular
231	171	179	50	48	1	1	Sociologia 3
232	37	178	60	56	1	1	Estatística Aplicada Às Ciências Sociais 2
233	172	12	50	41	1	1	Introdução Às Ciências Sociais
235	174	87	25	36	1	1	Fundamentos De Mineralogia
238	129	103	50	32	1	1	Química Geral Teoria
239	77	58	40	27	1	1	Universidade, Cursos E Mercado De Trabalho Nas Ciências Sociais
240	175	164	40	29	1	1	Fundamentos Filosóficos E Sócio-Hist. Da Educação
241	176	79	45	50	1	1	Engenharia De Requisitos
242	177	87	40	34	1	1	Física Ii
243	178	73	40	17	1	1	Genética Molecular
244	179	103	30	29	1	1	Biotecnologia Aplicada À Microbiologia
247	181	103	30	32	1	1	Bioquímica Metabólica
250	183	18	40	39	1	1	Biogeografia
251	139	166	40	64	1	1	Introdução À Computação
252	136	158	43	31	1	1	Física Aplicada À Biologia
253	184	13	20	15	1	1	Equações Diferenciais Ordinárias Ii
254	26	156	50	39	1	1	Química Geral
257	186	157	48	36	1	1	Física Aplicada À Biologia
258	187	93	25	29	1	1	Ecofisiologia Animal
259	22	5	30	26	1	1	Gestão Estratégica
260	188	142	15	11	1	1	Didática E Formação De Professores Do Campo
261	109	41	48	42	1	1	Organização, Sistemas E Métodos
262	189	161	45	42	1	1	Parasitologia Humana
263	30	155	20	6	1	1	Estágio I
264	190	8	60	64	1	1	Álgebra Linear
267	193	35	30	16	1	1	Prática De Planejamento Ambiental
268	82	93	55	40	1	1	Ecologia Evolutiva
269	28	88	21	1	1	1	Saúde Coletiva I
270	107	53	20	14	1	1	Microbiologia Geral
271	170	60	40	28	1	1	Software Básico
272	34	12	45	39	1	1	Microeconomia I
273	194	8	60	86	1	1	Física Iii
274	195	103	30	23	1	1	Legislação Em Biotecnologia - Propriedade Intelectual
276	84	156	35	30	1	1	Biologia Molecular
278	71	81	30	43	2	1	Planejamento Ambiental
279	197	167	59	59	1	1	Introdução Ao Cuidar I
280	198	13	50	31	1	1	Geometria Plana
282	200	167	20	24	1	1	Método Clínico I
283	201	130	25	7	1	1	Princípios Físicos De Radioterapia
284	202	19	31	34	2	1	Projetos Educacionais
285	69	79	45	27	1	1	Interação Humano-Computador
286	136	158	43	35	1	1	Fundamentos Filosóficos E Sócio-Históricos Da Educação
287	203	77	26	54	3	1	Introduction To Data Science Using R
289	42	19	60	37	1	1	Geometria Analítica
291	158	83	40	29	1	1	Antropologia E Sociologia Urbana
293	206	41	48	52	1	1	Sistemas De Informações Contábeis
294	207	5	30	26	1	1	Fundamentos De Administração
295	208	91	50	65	1	1	Física 1
297	135	167	15	14	1	1	Saúde Do Adulto E Do Idoso - Sistema Urinário
298	209	73	25	16	1	1	Introdução À Computação
299	210	157	40	33	1	1	Biologia De Microrganismos
