#ID	Bld	Cap	Type	Special	Name
1	1	45	1	1	101
2	1	45	1	1	102
3	1	45	1	1	103
4	2	24	2	1	104
5	1	24	2	1	106
6	1	35	1	1	107
7	1	20	1	1	108
8	1	45	1	1	109
9	1	45	1	1	110
10	1	45	1	1	201
13	1	45	1	1	203
14	1	55	1	1	204
15	1	55	1	2	205
16	1	35	1	1	206
17	1	35	1	1	207
18	1	45	1	1	208
19	1	45	1	1	209
20	1	45	1	1	301
21	1	45	1	1	302
22	1	45	1	1	303
23	1	55	1	1	304
24	1	55	1	1	305
26	1	35	1	1	307
27	1	20	1	1	308
29	1	45	1	1	310
30	2	50	1	1	101
31	2	50	1	1	102
32	2	50	1	1	103
33	2	24	2	1	106
34	1	24	2	1	105
35	1	24	2	1	104
36	2	40	1	1	107
37	2	20	1	1	108
38	2	50	1	1	109
39	2	50	1	1	110
40	2	50	1	1	201
41	2	50	1	1	202
42	2	50	1	1	203
43	2	60	1	1	204
44	2	60	1	1	205
45	2	50	1	1	206
47	2	50	1	1	208
48	2	25	1	1	209
49	2	50	1	1	301
50	2	50	1	1	302
51	2	50	1	1	303
52	2	60	1	1	304
53	2	60	1	1	305
54	1	50	1	1	306
55	2	40	1	1	307
56	2	20	1	1	308
57	1	50	1	1	309
58	2	25	1	1	310
59	5	40	1	1	301
60	5	20	1	1	302-Lab. IPTSP
61	5	40	1	1	303
62	5	80	1	1	304
63	5	50	1	1	305
64	5	80	1	1	306
65	5	60	3	1	307 - ATELIÊ
66	5	40	1	1	308
67	5		1	1	309- Lab. IPTSP
68	5	80	1	1	310
85	5	40	1	2	101
86	5	40	1	1	208
87	5	50	1	1	105
88	5	80	1	1	106
89	5	80	1	1	107
90	5	40	1	1	108
91	5	30	1	1	109
92	5	80	1	1	110
95	5	40	1	1	201
96	5	30	1	1	202
97	5	40	1	1	203
98	5	80	1	1	204
99	5	50	1	1	205
101	5	80	1	1	207
102	5	30	1	1	209-D
103	5	40	1	2	102
104	5	80	1	1	210
108	5	80	1	1	104
109	4	35	3	1	103 - Ateliê
111	4	50	1	1	104
112	4	20	2	1	105
113	4	35	1	1	107
114	4	15	1	1	108
115	4	44	1	1	109
117	4	50	1	1	201
118	4	50	1	1	202
119	4	50	1	1	203
120	4	60	1	1	204
121	4	50	1	1	205
122	4	60	1	1	206
123	4	35	1	1	208
124	4	44	1	1	209
125	4	60	1	1	106
126	2	50	1	1	306
127	2	50	1	1	309
128	2	24	2	1	105
130	5	80	1	1	206
138	11	20	1	1	
140	5	40	1	1	401
141	5	30	1	1	402
142	5	40	1	1	403
143	5	80	1	1	404
144	5	50	1	1	405
145	5	80	1	1	406
146	5	80	1	1	407
147	5	40	1	1	408
148	5	20	1	1	409- Lab. IPTSP
149	4	25	1	1	210
150	5	80	1	1	410-D
151	12	60	1	1	Sala 01
152	12	60	1	1	Sala 02
153	12	35	1	1	Sala 03
154	12	35	1	1	Sala 04
155	12	35	1	1	Sala 06
156	12	35	1	1	Sala 07
157	12	35	1	1	Sala 08
158	12	35	1	1	Sala 09
159	12	35	1	1	Sala 10
